Frame Number;Timestamp;Rigid Body Name;Relative X;Relative Y;Relative Z;Gesture
524383;4369.858;HandLeft;-0.404;-0.8474;-0.0242;clap
524383;4369.858;HandRight;0.2389;-0.9133;0.0233;clap
524383;4369.858;Head;0.0;0.0;0.0;clap
524384;4369.867;HandLeft;-0.4041;-0.8476;-0.024;clap
524384;4369.867;HandRight;0.2381;-0.9132;0.0233;clap
524384;4369.867;Head;-0.0004;0.0001;0.0006;clap
524385;4369.875;HandLeft;-0.4042;-0.848;-0.024;clap
524385;4369.875;HandRight;0.2375;-0.9129;0.0235;clap
524385;4369.875;Head;-0.001;0.0003;0.001;clap
524386;4369.883;HandLeft;-0.4044;-0.8482;-0.0239;clap
524386;4369.883;HandRight;0.2366;-0.9129;0.0235;clap
524386;4369.883;Head;-0.0017;0.0008;0.0005;clap
524387;4369.892;HandLeft;-0.4046;-0.8485;-0.024;clap
524387;4369.892;HandRight;0.2361;-0.9129;0.0238;clap
524387;4369.892;Head;-0.0024;0.0011;0.0007;clap
524388;4369.9;HandLeft;-0.4049;-0.8487;-0.024;clap
524388;4369.9;HandRight;0.2352;-0.913;0.0238;clap
524388;4369.9;Head;-0.0032;0.0014;0.0008;clap
524389;4369.908;HandLeft;-0.4051;-0.8489;-0.0241;clap
524389;4369.908;HandRight;0.2343;-0.913;0.0238;clap
524389;4369.908;Head;-0.0041;0.0018;0.0008;clap
524390;4369.917;HandLeft;-0.4053;-0.8491;-0.024;clap
524390;4369.917;HandRight;0.2334;-0.9129;0.024;clap
524390;4369.917;Head;-0.0048;0.0019;0.0008;clap
524391;4369.925;HandLeft;-0.4055;-0.8493;-0.024;clap
524391;4369.925;HandRight;0.2326;-0.9128;0.0242;clap
524391;4369.925;Head;-0.0052;0.0022;0.0007;clap
524392;4369.933;HandLeft;-0.4056;-0.8496;-0.0241;clap
524392;4369.933;HandRight;0.2316;-0.9128;0.0245;clap
524392;4369.933;Head;-0.0063;0.0025;0.0009;clap
524393;4369.942;HandLeft;-0.4058;-0.8499;-0.0242;clap
524393;4369.942;HandRight;0.2307;-0.9129;0.0247;clap
524393;4369.942;Head;-0.0068;0.0027;0.0015;clap
524394;4369.95;HandLeft;-0.406;-0.8501;-0.0244;clap
524394;4369.95;HandRight;0.2298;-0.9128;0.0247;clap
524394;4369.95;Head;-0.008;0.0033;0.0013;clap
524395;4369.958;HandLeft;-0.4063;-0.8503;-0.0248;clap
524395;4369.958;HandRight;0.2289;-0.9128;0.0247;clap
524395;4369.958;Head;-0.0089;0.0038;0.0011;clap
524396;4369.967;HandLeft;-0.4066;-0.8505;-0.0251;clap
524396;4369.967;HandRight;0.2281;-0.9129;0.0247;clap
524396;4369.967;Head;-0.0099;0.0041;0.0005;clap
524397;4369.975;HandLeft;-0.4069;-0.8506;-0.0256;clap
524397;4369.975;HandRight;0.2268;-0.913;0.0248;clap
524397;4369.975;Head;-0.0106;0.0044;0.0007;clap
524398;4369.983;HandLeft;-0.4071;-0.8507;-0.0261;clap
524398;4369.983;HandRight;0.2256;-0.913;0.0248;clap
524398;4369.983;Head;-0.0114;0.0047;0.0011;clap
524399;4369.992;HandLeft;-0.4074;-0.8508;-0.0265;clap
524399;4369.992;HandRight;0.2246;-0.9128;0.0247;clap
524399;4369.992;Head;-0.0125;0.0052;0.0009;clap
524400;4370.0;HandLeft;-0.4076;-0.851;-0.027;clap
524400;4370.0;HandRight;0.2238;-0.9124;0.0247;clap
524400;4370.0;Head;-0.0136;0.0056;0.0001;clap
524401;4370.008;HandLeft;-0.4078;-0.8512;-0.0274;clap
524401;4370.008;HandRight;0.223;-0.9124;0.0247;clap
